#
# flashprog.csv -- Flash ROM programmer pin constraints for DE2-115 board
#

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved

#
# clock and reset
#
clk_in,Input,PIN_Y2,2,B2_N0,3.3-V LVTTL,
rst_in_n,Input,PIN_M23,6,B6_N2,2.5 V,

#
# serial line
#
rs232_rxd,Input,PIN_G12,8,B8_N1,3.3-V LVTTL,
rs232_txd,Output,PIN_G9,8,B8_N2,3.3-V LVTTL,

#
# Flash ROM
#
fl_addr[22],Output,PIN_AD11,3,B3_N0,3.3-V LVTTL,
fl_addr[21],Output,PIN_AD10,3,B3_N2,3.3-V LVTTL,
fl_addr[20],Output,PIN_AE10,3,B3_N1,3.3-V LVTTL,
fl_addr[19],Output,PIN_AD12,3,B3_N0,3.3-V LVTTL,
fl_addr[18],Output,PIN_AC12,3,B3_N0,3.3-V LVTTL,
fl_addr[17],Output,PIN_AH12,3,B3_N0,3.3-V LVTTL,
fl_addr[16],Output,PIN_AA8,3,B3_N1,3.3-V LVTTL,
fl_addr[15],Output,PIN_Y10,3,B3_N2,3.3-V LVTTL,
fl_addr[14],Output,PIN_AC8,3,B3_N1,3.3-V LVTTL,
fl_addr[13],Output,PIN_AD8,3,B3_N2,3.3-V LVTTL,
fl_addr[12],Output,PIN_AA10,3,B3_N1,3.3-V LVTTL,
fl_addr[11],Output,PIN_AF9,3,B3_N1,3.3-V LVTTL,
fl_addr[10],Output,PIN_AE9,3,B3_N1,3.3-V LVTTL,
fl_addr[9],Output,PIN_AB10,3,B3_N1,3.3-V LVTTL,
fl_addr[8],Output,PIN_AB12,3,B3_N0,3.3-V LVTTL,
fl_addr[7],Output,PIN_AB13,3,B3_N0,3.3-V LVTTL,
fl_addr[6],Output,PIN_AA12,3,B3_N0,3.3-V LVTTL,
fl_addr[5],Output,PIN_AA13,3,B3_N0,3.3-V LVTTL,
fl_addr[4],Output,PIN_Y12,3,B3_N0,3.3-V LVTTL,
fl_addr[3],Output,PIN_Y14,3,B3_N0,3.3-V LVTTL,
fl_addr[2],Output,PIN_Y13,3,B3_N0,3.3-V LVTTL,
fl_addr[1],Output,PIN_AH7,3,B3_N1,3.3-V LVTTL,
fl_addr[0],Output,PIN_AG12,3,B3_N0,3.3-V LVTTL,
fl_dq[7],Bidir,PIN_AF12,3,B3_N1,3.3-V LVTTL,
fl_dq[6],Bidir,PIN_AH11,3,B3_N0,3.3-V LVTTL,
fl_dq[5],Bidir,PIN_AG11,3,B3_N0,3.3-V LVTTL,
fl_dq[4],Bidir,PIN_AF11,3,B3_N1,3.3-V LVTTL,
fl_dq[3],Bidir,PIN_AH10,3,B3_N1,3.3-V LVTTL,
fl_dq[2],Bidir,PIN_AG10,3,B3_N1,3.3-V LVTTL,
fl_dq[1],Bidir,PIN_AF10,3,B3_N1,3.3-V LVTTL,
fl_dq[0],Bidir,PIN_AH8,3,B3_N1,3.3-V LVTTL,
fl_ce_n,Output,PIN_AG7,3,B3_N2,3.3-V LVTTL,
fl_oe_n,Output,PIN_AG8,3,B3_N1,3.3-V LVTTL,
fl_we_n,Output,PIN_AC10,3,B3_N0,3.3-V LVTTL,
